ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies,Variety,Form,Author string,Author,Year
118260,Plantae,Streptophyta,Zygnematophyceae,Zygnematales,Peniaceae,Penium,,,,,Bréb. ex Ralfs in Ralfs,,
147708,Plantae,Streptophyta,Zygnematophyceae,Zygnematales,Peniaceae,Gonatozygon,,,,,"de Bary, 1858",,
150663,Plantae,Streptophyta,Zygnematophyceae,Zygnematales,Peniaceae,Gonatozygon,brebissonii,,,,de Bary,,
150664,Plantae,Streptophyta,Zygnematophyceae,Zygnematales,Peniaceae,Gonatozygon,monotaenium,,,,de Bary,,
118261,Plantae,Streptophyta,Zygnematophyceae,Zygnematales,Peniaceae,Penium,polymorphum,,,,Perty,,
151245,Plantae,Streptophyta,Zygnematophyceae,Zygnematales,Peniaceae,Penium,cylindrus,,,,Brébisson ex Ralfs,,
151246,Plantae,Streptophyta,Zygnematophyceae,Zygnematales,Peniaceae,Penium,margaritaceum,,,,Brébisson in Ralfs,,
118150,Plantae,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,,,,,Nitzsch ex Ralfs,,
118151,Plantae,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,aciculare,,,,T. West,,
118152,Plantae,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,acutum,,,,Brébisson ex Ralfs,,
118155,Plantae,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,gracile,,,,Brébisson ex Ralfs,,
118156,Plantae,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,idiosporum,,,,W. West & G.S. West,,
118157,Plantae,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,jenneri,,,,Ralfs,,
118158,Plantae,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,juncidum,,,,Ralfs,,
118159,Plantae,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,kuetzingii,,,,Brébisson,,
118160,Plantae,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,laterale,,,,Wittrock,,
118161,Plantae,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,limneticum,,,,Lemmermann,,
118163,Plantae,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,lineatum,,,,Ehrenberg ex Ralfs,,
118164,Plantae,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,moniliferum,,,,Ehrenberg ex Ralfs,,
118165,Plantae,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,parvulum,,,,Nägeli,,
118166,Plantae,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,praelongum,,,,Brébisson,,
118167,Plantae,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,pronum,,,,Brébisson,,
